term,word,score,
긁히다,adjective,-0.0305 ,
금나다,adjective,-0.0421 ,
금다,adjective,0.0763 ,
금하다,adjective,-0.0346 ,
급작스럽다,adjective,-0.0116 ,
급하다,adjective,-0.0757 ,
긋다,adjective,-0.0945 ,
기껍다,adjective,0.0133 ,
기나길다,adjective,0.0184 ,
기다,adjective,-0.0308 ,
기다랗다,adjective,0.0968 ,
기다리다,adjective,0.7354 ,
기달리다,adjective,-0.0116 ,
기대다,adjective,-0.0504 ,
기대리다,adjective,0.0242 ,
기대서다,adjective,-0.0737 ,
기똥차다,adjective,0.0363 ,
기러다,adjective,0.0387 ,
기르다,adjective,0.2383 ,
기름지다,adjective,0.0581 ,
기리다,adjective,-0.0117 ,
기막히다,adjective,0.0185 ,
기뻐하다,adjective,0.0387 ,
기쁘다,adjective,0.1937 ,
기시다,adjective,-0.0221 ,
기어가다,adjective,0.0617 ,
기어나오다,adjective,0.1089 ,
기어다니다,adjective,0.0460 ,
기어들다,adjective,0.0726 ,
기어들어가다,adjective,0.0847 ,
기어오다,adjective,0.0242 ,
기어오르다,adjective,-0.0263 ,
기어올라가다,adjective,0.0484 ,
기어올라오다,adjective,-0.0737 ,
기억나다,adjective,-0.0580 ,
기우다,adjective,-0.0147 ,
기우뚱거리다,adjective,-0.0737 ,
기운차다,adjective,0.0133 ,
기울다,adjective,-0.0253 ,
기울어지다,adjective,0.0956 ,
기울이다,adjective,0.1598 ,
기웃거리다,adjective,0.1186 ,
기웃대다,adjective,0.0726 ,
기이다,adjective,-0.0263 ,
기죽다,adjective,0.0726 ,
기차다,adjective,0.0920 ,
기하다,adjective,-0.0113 ,
긴하다,adjective,-0.0189 ,
긷다,adjective,-0.0189 ,
길다,adjective,-0.6814 ,
길다랗다,adjective,0.0157 ,
길들다,adjective,-0.0411 ,
길들이다,adjective,0.0577 ,
길르다,adjective,-0.0421 ,
길리다,adjective,-0.0189 ,
길어올리다,adjective,-0.0737 ,
김매다,adjective,-0.0147 ,
김빠지다,adjective,-0.0832 ,
김새다,adjective,-0.0305 ,
깁다,adjective,0.0194 ,
깃들다,adjective,-0.0395 ,
깃들이다,adjective,-0.0453 ,
깊다,adjective,0.8067 ,
깊디깊다,adjective,-0.0421 ,
깊어지다,adjective,0.0351 ,
까내리다,adjective,-0.0116 ,
까놓다,adjective,-0.0189 ,
까다,adjective,-0.0226 ,
까다롭다,adjective,-0.0248 ,
까닥거리다,adjective,0.0242 ,
까대다,adjective,-0.0189 ,
까딱거리다,adjective,-0.0737 ,
까맣다,adjective,0.0514 ,
까매지다,adjective,0.0242 ,
까먹다,adjective,0.0182 ,
까무라치다,adjective,0.0242 ,
까무러치다,adjective,0.0605 ,
까발리다,adjective,-0.0979 ,
까보다,adjective,-0.0737 ,
까불거리다,adjective,0.0363 ,
까불다,adjective,0.0230 ,
까이다,adjective,0.1114 ,
까지다,adjective,-0.0120 ,
깍아내리다,adjective,-0.0189 ,
깎다,adjective,-0.0440 ,
깎아내리다,adjective,-0.0979 ,
깎아지르다,adjective,-0.0116 ,
깎이다,adjective,-0.0411 ,
깔깔거리다,adjective,0.0956 ,
깔깔대다,adjective,0.0714 ,
깔다,adjective,-0.0681 ,
깔대다,adjective,0.0605 ,
깔리다,adjective,-0.0466 ,
깔보다,adjective,-0.0379 ,
깔아뭉개다,adjective,-0.0116 ,
깜다,adjective,0.0242 ,
깜박거리다,adjective,-0.0737 ,
깜박이다,adjective,-0.0189 ,
깜빡거리다,adjective,0.0847 ,
깜빡이다,adjective,-0.0263 ,
깜빡하다,adjective,0.0472 ,
깜짝이다,adjective,-0.0737 ,
깡마르다,adjective,0.0206 ,
깡충거리다,adjective,0.0242 ,
깨끗하다,adjective,0.0182 ,
깨나다,adjective,0.0242 ,
깨놓다,adjective,-0.0421 ,
깨다,adjective,0.2218 ,
깨닫다,adjective,0.7581 ,
깨닳다,adjective,-0.0674 ,
깨뜨리다,adjective,0.0202 ,
깨물다,adjective,0.1017 ,
깨보다,adjective,0.0847 ,
깨부수다,adjective,0.0472 ,
깨어나다,adjective,0.0510 ,
깨어지다,adjective,0.0472 ,
깨우다,adjective,0.0570 ,
깨우치다,adjective,0.0621 ,
깨이다,adjective,-0.0116 ,
깨지다,adjective,-0.0643 ,
깨치다,adjective,0.1114 ,
깨트리다,adjective,-0.0600 ,
꺼내다,adjective,0.2258 ,
꺼뜨리다,adjective,0.0726 ,
꺼리끼다,adjective,-0.0147 ,
꺼리다,adjective,-0.0399 ,
꺼주다,adjective,0.0121 ,
꺼지다,adjective,-0.0222 ,
꺼집어내다,adjective,-0.0116 ,
꺼트리다,adjective,0.0484 ,
꺽이다,adjective,0.0266 ,
꺽지다,adjective,0.0363 ,
꺾다,adjective,0.0269 ,
꺾어지다,adjective,-0.0421 ,
꺾이다,adjective,-0.0905 ,
껄끄럽다,adjective,-0.0146 ,
껄다,adjective,-0.0173 ,
껌다,adjective,0.0605 ,
껌벅이다,adjective,0.0315 ,
껌뻑이다,adjective,0.0363 ,
껴안다,adjective,0.0202 ,
껴입다,adjective,0.0968 ,
꼬다,adjective,-0.0234 ,
꼬드기다,adjective,0.0242 ,
꼬매다,adjective,0.0484 ,
꼬물거리다,adjective,-0.0737 ,
꼬부라지다,adjective,-0.0116 ,
꼬불거리다,adjective,-0.0421 ,
꼬시다,adjective,-0.0758 ,
꼬이다,adjective,-0.0392 ,
꼬집다,adjective,-0.0380 ,
꼬집히다,adjective,0.0363 ,
꼰다,adjective,-0.0116 ,
꼴다,adjective,0.0448 ,
꼴리다,adjective,-0.0411 ,
꼴사납다,adjective,-0.0421 ,
꼼지락거리다,adjective,0.0121 ,
꼼지락대다,adjective,-0.0421 ,
꼽다,adjective,0.0930 ,
꼽히다,adjective,0.0270 ,
꽁하다,adjective,0.0242 ,
꽂다,adjective,0.0545 ,
꽂히다,adjective,-0.0493 ,
꽃피다,adjective,0.0642 ,
꽃피우다,adjective,0.1053 ,
꽉차다,adjective,0.0145 ,
꽥꽥거리다,adjective,0.0363 ,
꾀다,adjective,-0.0379 ,
꾀부리다,adjective,0.0605 ,
꾀어내다,adjective,-0.0737 ,
꾀하다,adjective,0.0146 ,
꾸기다,adjective,-0.0147 ,
꾸다,adjective,0.1011 ,
꾸리다,adjective,0.0562 ,
꾸물거리다,adjective,-0.0116 ,
꾸물대다,adjective,0.0605 ,
꾸미다,adjective,0.1839 ,
꾸밈없다,adjective,0.0448 ,
꾸이다,adjective,0.0363 ,
꾸지다,adjective,-0.0421 ,
꾸짓다,adjective,-0.0737 ,
꾸짖다,adjective,0.0161 ,
꿀꿀거리다,adjective,0.0242 ,
꿀리다,adjective,0.0847 ,
꿇다,adjective,-0.0151 ,
꿇리다,adjective,-0.0421 ,
꿈꾸다,adjective,0.3727 ,
꿈트다,adjective,0.0278 ,
꿈틀거리다,adjective,-0.0109 ,
꿈틀다,adjective,0.1089 ,
꿈틀대다,adjective,-0.0568 ,
꿉다,adjective,0.1247 ,
꿰다,adjective,-0.0192 ,
꿰뚫다,adjective,0.0370 ,
꿰맞추다,adjective,-0.0116 ,
꿰매다,adjective,0.0460 ,
꿰메다,adjective,-0.0116 ,
꿰이다,adjective,-0.0147 ,
꿰차다,adjective,0.0182 ,
뀌다,adjective,0.0274 ,
끄다,adjective,0.0939 ,
끄덕거리다,adjective,-0.0600 ,
끄덕없다,adjective,0.0847 ,
끄덕이다,adjective,0.0731 ,
끄떡없다,adjective,0.0169 ,
끄떡이다,adjective,-0.0116 ,
끄르다,adjective,-0.0116 ,
끄적거리다,adjective,-0.0674 ,
끄적이다,adjective,-0.0143 ,
끄집다,adjective,-0.0139 ,
끄집어내다,adjective,-0.0184 ,
끈덕지다,adjective,-0.0116 ,
끈적거리다,adjective,-0.0221 ,
끈적이다,adjective,0.1089 ,
끈질기다,adjective,-0.0203 ,
끊기다,adjective,-0.0542 ,
끊다,adjective,-0.1299 ,
끊어지다,adjective,-0.1021 ,
끊이다,adjective,-0.0298 ,
끊임없다,adjective,0.0485 ,
끌다,adjective,-0.3158 ,
끌려가다,adjective,0.0326 ,
끌려들다,adjective,0.0605 ,
끌려오다,adjective,-0.0379 ,
끌리다,adjective,-0.1886 ,
끌어가다,adjective,-0.0143 ,
끌어내다,adjective,-0.0361 ,
끌어내리다,adjective,-0.0642 ,
끌어당기다,adjective,-0.0248 ,
끌어들이다,adjective,-0.0361 ,
끌어모으다,adjective,-0.0305 ,
끌어안다,adjective,0.0238 ,
끌어오다,adjective,-0.0674 ,
끌어올리다,adjective,0.0224 ,
끓다,adjective,0.0259 ,
끓어오르다,adjective,0.0666 ,
끓이다,adjective,0.0373 ,
끙끙거리다,adjective,-0.0337 ,
끙끙대다,adjective,-0.0379 ,
끝나가다,adjective,-0.0337 ,
끝나다,adjective,-0.1600 ,
끝내다,adjective,-0.1536 ,
끝내주다,adjective,-0.0263 ,
끝다,adjective,0.0242 ,
끝마치다,adjective,0.0569 ,
끝맺다,adjective,-0.0162 ,
끝장나다,adjective,0.0968 ,
끝장내다,adjective,0.0206 ,
끼다,adjective,0.1306 ,
끼리다,adjective,0.0968 ,
끼어들다,adjective,-0.0184 ,
끼얹다,adjective,-0.0832 ,
끼우다,adjective,-0.0662 ,
끼이다,adjective,-0.0937 ,
끼적거리다,adjective,-0.0737 ,
끼적이다,adjective,-0.0421 ,
끼치다,adjective,0.1255 ,
끽하다,adjective,-0.0116 ,
낄낄거리다,adjective,0.0436 ,
낄낄대다,adjective,0.0218 ,
낄다,adjective,0.0968 ,
낑낑거리다,adjective,-0.0147 ,
낑낑대다,adjective,-0.0379 ,
나가다,adjective,0.9844 ,
나긋나긋하다,adjective,-0.0737 ,
나누다,adjective,0.0976 ,
나뉘다,adjective,0.1402 ,
나다,adjective,0.1788 ,
나다니다,adjective,-0.0421 ,
나대다,adjective,-0.0147 ,
나돌다,adjective,-0.0379 ,
나동그라지다,adjective,-0.0421 ,
나두다,adjective,-0.0221 ,
나뒹굴다,adjective,0.0194 ,
나들다,adjective,-0.0737 ,
나라지다,adjective,-0.0189 ,
나르다,adjective,0.0242 ,
나리다,adjective,0.0351 ,
나무라다,adjective,0.0190 ,
나부끼다,adjective,0.0242 ,
나불대다,adjective,0.0242 ,
나붙다,adjective,0.0363 ,
나빠지다,adjective,-0.0737 ,
나쁘다,adjective,-0.6972 ,
나서다,adjective,0.2567 ,
나아가다,adjective,0.3761 ,
나아지다,adjective,0.0628 ,
나앉다,adjective,-0.0737 ,
나오다,adjective,0.4384 ,
나와다,adjective,-0.0737 ,
나자빠지다,adjective,-0.0147 ,
나즈막하다,adjective,0.0605 ,
나카다,adjective,-0.0421 ,
나타나다,adjective,0.4949 ,
나타내다,adjective,0.1333 ,
나풀거리다,adjective,-0.0421 ,
낙인찍다,adjective,0.0182 ,
낙인찍히다,adjective,0.0363 ,
낚다,adjective,-0.0576 ,
낚아올리다,adjective,0.0242 ,
낚아채다,adjective,0.0460 ,
낚이다,adjective,-0.0482 ,
난다,adjective,0.0775 ,
난데없다,adjective,-0.0116 ,
난리나다,adjective,-0.0116 ,
날다,adjective,0.1019 ,
날뛰다,adjective,-0.0758 ,
날라가다,adjective,0.0375 ,
날라다니다,adjective,0.1089 ,
날라오다,adjective,0.0169 ,
날래다,adjective,-0.0737 ,
날름거리다,adjective,0.0363 ,
날리다,adjective,0.1034 ,
날새다,adjective,0.0363 ,
날쌔다,adjective,0.0278 ,
날아가다,adjective,0.0799 ,
날아다니다,adjective,0.0259 ,
날아들다,adjective,0.0642 ,
날아오다,adjective,0.0234 ,
날아오르다,adjective,0.0163 ,
날으다,adjective,0.0145 ,
날치다,adjective,-0.0421 ,
날카롭다,adjective,0.0826 ,
낡다,adjective,-0.0734 ,
남기다,adjective,-0.5059 ,
남다,adjective,-0.1123 ,
남다르다,adjective,0.0810 ,
남들다,adjective,-0.0600 ,
남모르다,adjective,0.0363 ,
남부끄럽다,adjective,0.0363 ,
남부럽다,adjective,-0.0642 ,
남아나다,adjective,0.0847 ,
남아돌다,adjective,-0.0568 ,
납시다,adjective,0.0242 ,
낫다,adjective,-0.3342 ,
낭패보다,adjective,-0.0421 ,
낮다,adjective,-0.2168 ,
낮잡다,adjective,0.0363 ,
낮추다,adjective,0.0425 ,
낯가리다,adjective,0.0218 ,
낯간지럽다,adjective,-0.0337 ,
낯모르다,adjective,-0.0421 ,
낯설다,adjective,0.3429 ,
낯익다,adjective,-0.0226 ,
낯추다,adjective,-0.0116 ,
낳다,adjective,0.3052 ,
내가다,adjective,-0.0147 ,
내걸다,adjective,-0.0143 ,
내걸리다,adjective,-0.0737 ,
내노라하다,adjective,0.0169 ,
내놓다,adjective,-0.1087 ,
내다,adjective,-0.4442 ,
내다보다,adjective,-0.0279 ,
내다보이다,adjective,0.0847 ,
내닫다,adjective,0.0157 ,
내달리다,adjective,-0.0832 ,
내던지다,adjective,-0.0173 ,
내돌리다,adjective,0.0242 ,
내동댕이치다,adjective,0.0182 ,
내두르다,adjective,0.0424 ,
내들다,adjective,0.0363 ,
내디다,adjective,0.0363 ,
내디디다,adjective,0.0702 ,
내딛다,adjective,0.0386 ,
내딪다,adjective,-0.0737 ,
